Country;ISO3_code;Population;Continent
Aruba;ABW;106766;Central America and the Caribbean
Afghanistan;AFG;38928346;Asia
Angola;AGO;32866272;Africa
Anguilla;AIA;15003;North America
Aland Islands;ALA;28007;Europe
Albania;ALB;2877797;Europe
Andorra;AND;77265;Europe
UAE;ARE;9890402;Asia
Argentina;ARG;45195774;South America
Armenia;ARM;2963243;Europe
American Samoa;ASM;55191;Oceania
Antarctica;ATA;0;Antarctica
Antigua and Barbuda;ATG;97929;Central America and the Caribbean
Australia;AUS;25499884;Oceania
Austria;AUT;9006398;Europe
Azerbaijan;AZE;10139177;Asia
Burundi;BDI;11890784;Africa
Belgium;BEL;11589623;Europe
Benin;BEN;12123200;Africa
Caribbean Netherlands;BES;26223;Central America and the Caribbean
Burkina Faso;BFA;20903273;Africa
Bangladesh;BGD;164689383;Asia
Bulgaria;BGR;6948445;Europe
Bahrain;BHR;1701575;Asia
Bahamas;BHS;393244;Central America and the Caribbean
Bosnia and Herzegovina;BIH;3280819;Europe
St. Barth;BLM;9877;Central America and the Caribbean
Belarus;BLR;9449323;Europe
Belize;BLZ;397628;Central America and the Caribbean
Bermuda;BMU;62278;South America
Bolivia;BOL;11673021;South America
Brazil;BRA;212559417;South America
Barbados;BRB;287375;Central America and the Caribbean
Brunei;BRN;437479;Asia
Bhutan;BTN;771608;Asia
Botswana;BWA;2351627;Africa
CAR;CAF;4829767;Africa
Canada;CAN;37742154;North America
Cocos (Keeling) Islands;CCK;596;Asia
Switzerland;CHE;8654622;Europe
Chile;CHL;19116201;South America
China;CHN;1439323776;Asia
Ivory Coast;CIV;26378274;Africa
Cameroon;CMR;26545863;Africa
DRC;COD;89561403;Africa
Congo;COG;5518087;Africa
Cook Islands;COK;17564;Oceania
Colombia;COL;50882891;South America
Comoros;COM;869601;Africa
Cabo Verde;CPV;555987;Africa
Costa Rica;CRI;5094118;Central America and the Caribbean
Cuba;CUB;11326616;North America
Curaçao;CUW;164093;South America
Christmas Island;CXR;1403;Asia
Cayman Islands;CYM;65722;Central America and the Caribbean
Cyprus;CYP;1207359;Asia
Czechia;CZE;10708981;Europe
Germany;DEU;83783942;Europe
Djibouti;DJI;988;Africa
Dominica;DMA;71986;Central America and the Caribbean
Denmark;DNK;5792202;Europe
Dominican Republic;DOM;10847910;Central America and the Caribbean
Algeria;DZA;43851044;Africa
Ecuador;ECU;17643054;South America
Egypt;EGY;102334404;Africa
Eritrea;ERI;3546421;Africa
Western Sahara;ESH;597339;Africa
Spain;ESP;46754778;Europe
Estonia;EST;1326535;Europe
Ethiopia;ETH;114963588;Africa
Finland;FIN;5540720;Europe
Fiji;FJI;896445;Oceania
Falkland Islands;FLK;348;South America
France;FRA;65273511;Europe
Faroe Islands;FRO;48863;Europe
Micronesia (Federated States of);FSM;112640;Oceania
Gabon;GAB;2225734;Africa
UK;GBR;67886011;Europe
Georgia;GEO;3989167;Europe
Ghana;GHA;31072940;Africa
Gibraltar;GIB;33691;Europe
Guinea;GIN;13132795;Africa
Guadeloupe;GLP;400124;Central America and the Caribbean
Gambia;GMB;2416668;Africa
Guinea-Bissau;GNB;1968001;Africa
Equatorial Guinea;GNQ;1402985;Africa
Greece;GRC;10423054;Europe
Grenada;GRD;112523;Central America and the Caribbean
Greenland;GRL;5677;North America
Guatemala;GTM;17915568;Central America and the Caribbean
French Guiana;GUF;298682;South America
Guam;GUM;168775;Oceania
Guyana;GUY;786552;South America
Hong Kong;HKG;7496981;Asia
Honduras;HND;9904607;Central America and the Caribbean
Croatia;HRV;4105267;Europe
Haiti;HTI;11402528;Central America and the Caribbean
Hungary;HUN;9660351;Europe
Indonesia;IDN;273523615;Asia
Isle of Man;IMN;85033;Europe
India;IND;1380004385;Asia
Ireland;IRL;4937786;Europe
Iran;IRN;83992949;Asia
Iraq;IRQ;40222493;Asia
Iceland;ISL;341243;Europe
Israel;ISR;8655535;Asia
Italy;ITA;60461826;Europe
Jamaica;JAM;2961167;Central America and the Caribbean
Jersey;JEY;97857;Europe
Jordan;JOR;10203134;Asia
Japan;JPN;126476461;Asia
Kazakhstan;KAZ;18776707;Asia
Kenya;KEN;53771296;Africa
Kyrgyzstan;KGZ;6524195;Asia
Cambodia;KHM;16718965;Africa
Kiribati;KIR;119449;Oceania
Saint Kitts and Nevis;KNA;54961;Central America and the Caribbean
S. Korea;KOR;51269185;Asia
Kuwait;KWT;4270571;Asia
Laos;LAO;7275560;Asia
Lebanon;LBN;6825445;Asia
Liberia;LBR;5057681;Africa
Libya;LBY;6871292;Africa
Saint Lucia;LCA;183627;Central America and the Caribbean
Liechtenstein;LIE;38128;Europe
Sri Lanka;LKA;21413249;Asia
Lesotho;LSO;2142249;Africa
Lithuania;LTU;2722289;Europe
Luxembourg;LUX;625978;Europe
Latvia;LVA;1886198;Europe
Macao;MAC;649335;Asia
Saint Martin;MAF;38666;Central America and the Caribbean
Morocco;MAR;36910560;Africa
Monaco;MCO;39242;Europe
Moldova;MDA;4033963;Europe
Madagascar;MDG;27691018;Africa
Maldives;MDV;540544;Asia
Mexico;MEX;128932753;North America
Marshall Islands;MHL;5919;Oceania
North Macedonia;MKD;2083374;Europe
Mali;MLI;20250833;Africa
Malta;MLT;441543;Europe
Myanmar;MMR;54409800;Asia
Montenegro;MNE;628066;Europe
Mongolia;MNG;3278290;Asia
Northern Mariana Islands;MNP;57559;Oceania
Mozambique;MOZ;31255435;Africa
Mauritania;MRT;4649658;Africa
Montserrat;MSR;4992;Central America and the Caribbean
Martinique;MTQ;375265;Central America and the Caribbean
Mauritius;MUS;1271768;Africa
Malawi;MWI;19129952;Africa
Malaysia;MYS;32365999;Asia
Mayotte;MYT;272815;Africa
Namibia;NAM;2540905;Africa
New Caledonia;NCL;285498;Oceania
Niger;NER;24206644;Africa
Norfolk Island;NFK;2169;Oceania
Nigeria;NGA;206139589;Africa
Nicaragua;NIC;6624554;Central America and the Caribbean
Niue;NIU;1626;Oceania
Netherlands;NLD;17134872;Europe
Norway;NOR;5421241;Europe
Nepal;NPL;29136808;Asia
Nauru;NRU;10824;Oceania
New Zealand;NZL;4822233;Oceania
Oman;OMN;5106626;Asia
Pakistan;PAK;220892340;Asia
Panama;PAN;4314767;Central America and the Caribbean
Peru;PER;32971854;South America
Philippines;PHL;109581078;Asia
Palau;PLW;18094;Oceania
Papua New Guinea;PNG;8947024;Oceania
Poland;POL;37846611;Europe
Puerto Rico;PRI;2860853;North America
Korea (Democratic People's Republic of);PRK;25778816;Asia
Portugal;PRT;10196709;Europe
Paraguay;PRY;7132538;South America
Palestine;PSE;5101414;Asia
French Polynesia;PYF;280908;Oceania
Qatar;QAT;2881053;Asia
Réunion;REU;895312;Europe
Romania;ROU;19237691;Europe
Russia;RUS;145934462;Asia
Rwanda;RWA;12952218;Africa
Saudi Arabia;SAU;34813871;Asia
Sudan;SDN;43849260;Africa
Senegal;SEN;16743927;Africa
Singapore;SGP;5850342;Asia
South Georgia and the South Sandwich Islands;SGS;30;South America
Saint Helena, Ascension and Tristan da Cunha;SHN;4534;Africa
Svalbard and Jan Mayen;SJM;2700;Europe
Solomon Islands;SLB;686884;Oceania
Sierra Leone;SLE;7976983;Africa
El Salvador;SLV;6486205;Central America and the Caribbean
San Marino;SMR;33931;Europe
Somalia;SOM;15893222;Africa
Saint Pierre Miquelon;SPM;5794;North America
Serbia;SRB;8737371;Europe
South Sudan;SSD;11193725;Africa
Sao Tome and Principe;STP;219159;Africa
Suriname;SUR;586632;South America
Slovakia;SVK;5459642;Europe
Slovenia;SVN;2078938;Europe
Sweden;SWE;10099265;Europe
Eswatini;SWZ;1160164;Africa
Sint Maarten;SXM;42876;Central America and the Caribbean
Seychelles;SYC;98347;Africa
Syria;SYR;17500658;Asia
Turks and Caicos;TCA;38717;Central America and the Caribbean
Chad;TCD;16425864;Africa
Togo;TGO;8278724;Africa
Thailand;THA;69799978;Asia
Tajikistan;TJK;9537645;Asia
Tokelau;TKL;1357;Oceania
Turkmenistan;TKM;6031200;Asia
Timor-Leste;TLS;1318445;Asia
Tonga;TON;105695;Africa
Trinidad and Tobago;TTO;1399488;South America
Tunisia;TUN;11818619;Africa
Turkey;TUR;84339067;Europe
Tuvalu;TUV;11792;Oceania
Taiwan;TWN;23816775;Asia
Tanzania;TZA;59734218;Africa
Uganda;UGA;45741007;Africa
Ukraine;UKR;43733762;Europe
United States Minor Outlying Islands;UMI;300;North America
Uruguay;URY;3473730;South America
USA;USA;331002651;North America
Uzbekistan;UZB;33469203;Asia
Holy See;VAT;801;Europe
